category;data
Дети;«Для формирования связи с маленьким хозяином животное должно быть высокоэмпатичным, так что собаки и кошки подойдут для таких целей больше, чем какие-нибудь морские свинки или ежи», — подчеркнула специалист. Важно, чтобы ребенок не испытывал тревоги или страха от общения с животным, поэтому нужно выбирать таких котят и щенков, которые не буду проявлять агрессию, добавила Таранова. Важно также обучать детей уходу за животными, формируя у них чувство ответственности и желание заботиться о питомцах. «Также вам стоит изучить литературу об уходе за питомцем, чтобы передать эти знания ребенку», — порекомендовала она. При выборе нового друга для ребенка важно учесть все нюансы — к примеру, заранее убедиться, что ни у кого в семье нет аллергии, подчеркнула психолог. Также нужно ориентироваться на желание самого ребенка — если он всегда мечтал о собаке, лучше сделать выбор в пользу покупки щенка. Напомним, клинические психологи также подчеркивают, что дети, которые растут, воспитывая домашнее животное, опережают сверстников по всем параметрам развития. При этом перед покупкой питомца они советуют убедиться, что ребенок готов справиться с заботой о ком-то еще. Читайте также: 10 ошибок, которые постоянно делают родители подростков
Дети;Так действительно ли партнерские роды могут быть вредны для отношений? И в каких случаях партнер будет скорее обузой, чем помощью? Разберемся в этих вопросах вместе с экспертом. «ЧУВСТВОВАЛА СЕБЯ СПОКОЙНО И ЗАЩИЩЕННО» О том, как проходят партнерские роды, в X/Twitter рассказала пользовательница @svetachalova. По ее словам, ее мужа отговаривали идти на роды и «пугали исчезновением потенции». «Делали это люди, которые на родах никогда не бывали, — добавляет девушка. — Единственный человек, который его всецело поддержал — его друг, который сам присутствовал на родах. Он сказал: „Чувак, это [хороший] опыт, иди обязательно“. И рассказал ему, как и что там будет проходить». Перед появлением ребенка на свет Светлана вместе с мужем ходили на курсы по партнерским родам, на которых рассказывалось, как проходит эта процедура и к чему нужно быть готовыми самой роженице и тем близким, кто будет с ней рядом. «В финальной стадии родов муж стоял у изголовья. Увы, но его не тыкали лицом в вагину, как предполагают местные специалисты. Он смотрел на меня, поддерживал, дышал и даже тужился вместе со мной», — говорит Светлана. «Я чувствовала себя более спокойно и защищенно, зная, что рядом со мной мой близкий человек, — продолжает девушка. — И когда после родов мы все, уже втроем, приехали в палату, я могла просто упасть и заснуть, понимая, что он позаботится о ребенке». С тех пор прошло несколько лет: по словам Светланы, ее супруг по-прежнему не жалеет о сделанном выборе, а увиденное на родах никак не повлияло на их сексуальную жизнь. «ЕСЛИ МУЖЧИНА НЕ ГОТОВ ПОЙТИ НА РОДЫ — ОН НЕ ГОТОВ БЫТЬ ОТЦОМ» Пост Светланы быстро стал вирусным — своим мнением о партнерских родах решили поделиться как сами девушки, так и отцы детей. «Если мужчина не готов пойти на роды, значит, он не готов быть родителем. Если женщина не хочет пускать на роды мужчину, то, вероятнее всего, у нее есть страхи, связанные с мифами о том, что ее бросят. Вместе делали — вместе рожают. Иное странно и вызывает вопросики», — высказала свое мнение @Hey_Anthony0_o. Своим опытом поделились и мужчины: «Был на родах дважды, и для меня это было трепетно так же, как и для жены. Да, многие убеждены, что будут проблемы потом, но для меня это было одним из самых важных моментов в жизни»;«Оба раза был с женой. Только уважение как результат, никакого негатива. И потом, зачали вместе, беременность у нее, и как ни пытайся, а ей тяжелее. Еще и на родах бросить? [Ерунда] какая-то. Как так можно?»;«Участвовал в партнерских родах, это [положительный] опыт и непередаваемые эмоции, когда видишь своего ребенка в первые секунды»;«Трое детей, старшему 22, младшему пять. Был все три раза на родах. Первый держал сыновей на руках. Смотреть ТУДА не обязательно, а вот быть рядом с родным человеком в этот момент — это бесценно для двоих, хотя нет, для троих… Секс и влечение есть до сих пор»;«Был на родах сына, ходил на курсы с женой. Долго готовились, так как с дочкой до этого было кесарево. Перерезал пуповину и разрешили сразу на руки взять. Рыдал от счастья, до этого не думал, что такое возможно. Потом до выписки три дня в палате вместе. Кайф». Вместе с тем о партнерских родах некоторые отзываются негативно — чаще всего такой позиции придерживаются те, кто на этой процедуре никогда не присутствовал. Так, в ответах на посты Светланы некоторые сравнили роды с дефекацией, а часть женщин заявили, что им было бы неприятно, если бы рядом с ними в этот трудный момент находился их любимый человек. МНЕНИЕ СПЕЦИАЛИСТА  Алина Никифорова. Клинический, перинатальный психолог, член Российской ассоциации репродукции человека. Как проходят партнерские роды в России Современные родильные дома в России стараются быть открытыми к совместным родам, создают для этого удобную внутреннюю инфраструктуру. Несмотря на это, отношение к партнерским родам у женщин и мужчин остается разным, и это нормально. Сегодня многие женщины 20-40 лет положительно смотрят на партнерские роды, в особенности если речь идет о первых родах. Чаще всего на роль партнера выбирается муж Партнерами на родах также бывают акушерки, психологи, доулы (штатные и выездные). Иногда на родах бывает целая команда поддержки: врач, дежурная акушерка, муж и доула. Таким образом, вариаций партнерских родов много, а выбор всегда делается индивидуально — исходя из бюджета, состояния здоровья, психологического настроя и других обстоятельств. Обычно партнер на родах — это тот, в ком женщина видит человека, который сможет оказать помощь. Она, к слову, бывает разнообразной: подать стакан воды;налить припасенный чай;помочь дойти до туалета;посидеть под теплым душем;сделать массаж поясницы;позвать врача или акушерку, когда возникнет такая необходимость;поддержать в попытках справиться со страхом, волнением и паникой. Партнер в родах — это часто и тот, c кем можно принять совместное решение, если этого требует течение процесса. Например, когда роды идут негладко и встает вопрос о медицинских вмешательствах. Врачи делятся, что женщины с партнерами в родах чувствуют себя спокойнее, чем те, кто остается в родильной палате в одиночестве. Ведь для некоторых пациенток основная поддержка заключается как раз в том, что рядом с ней в непривычной, стрессовой ситуации находится знакомый человек, который одним своим присутствием напоминает ей о стабильности, о том, что все получится и она со всем справится. Чтобы подготовиться к партнерским родам, я бы рекомендовала книгу Пенни Симкин «Партнер в родах. Полное руководство по родам для пап, доул и всех, кто сопровождает роды». Мужчинам не место на родах: миф или правда Некоторые полагают, якобы мужчины могут на партнерских родах увидеть что-то не то, испугаться, разочароваться и лишиться интимного интереса к супруге. Однако если будущий отец изучает, как устроены партнерские роды и чем он реально может помочь жене, то его информированность снижает подобные «осложнения». Универсального варианта нет — каждая пара решает вопрос о партнерских родах индивидуально На курсах подготовки к родам я всегда говорю супругам о том, что важно договориться: вы вместе на родах до тех пор, пока кому-то из вас это не станет дискомфортно: роды — это непредсказуемый процесс, в котором что-то может поменяться, и супруг может покинуть родильную палату по собственному желанию или по просьбе жены. Я часто шучу, что чтобы мужчине не испугаться и не увидеть лишнего в потужном периоде, лучше оставаться у изголовья кровати, и лучше с той стороны, которая ближе к выходу, потому что свои реакции предсказать невозможно. Мы все живые люди, а роды — это аффективно заряженное событие, где возможен избыток чувств и переживаний, с которым не все справляются, и это тоже нормально. Но все же в большинстве случаев это, конечно, эмоции радости и счастья. В каких случаях лучше отказаться от партнерских родов Если у партнера есть склонность к излишнему контролю, перфекционизму, повышенной тревожности, ему может быть сложно на совместных родах. Роды — это процесс, который невозможно контролировать, ему можно только отдаваться. Привычное поведение таких людей в ситуации родов может не дать желанного результата.Если в вашей семье есть четкое разделение на мужские и женские обязанности, занятия, то партнерские роды могут даться вам тяжело. Важно оценить реальную возможность помощи со стороны партнера — сможет ли он найти в себе готовность быть в таком процессе и принимать все, что происходит в родильной палате.Если вы склонные к стеснению и уединению, то в партнерских родах вам может быть тяжело расслабиться. Но помните, что совместные роды возможны и со специально обученным человеком, а не только со знакомыми и близкими людьми.Если по каким-то причинам супруг хочет быть на родах, а вы этого не хотите, но не находите логических объяснений, выбор все равно остается за вами. Роды — это работа, и важно, чтобы вы, как самый главный участник процесса, чувствовали себя комфортно, от этого может зависеть способность расслабиться и справляться с болью.Партнерские роды могут вам не подойти по религиозным соображениям, в случае если традиции определяют ваш уклад жизни;Не рекомендуется брать с собой на роды маму, сестру, тетю, подругу. Нашим близким бывает тяжело видеть нас в непростых ситуациях, в состоянии боли, тяжелой, изнуряющей работы — им хочется нам помочь, пожалеть нас, они могут начать чрезмерно опекать, даже не осознавая этого. Тем самым они лишают вас возможности почувствовать себя взрослыми и сильными, а это в родах необходимо.Если у вас остаются непреодолимые страхи и тревоги относительно родов и появления ребенка в семье. Если эти переживания не проходят самостоятельно, нарастают, вы всегда можете обратиться к перинатальному психологу за консультацией. Через такого специалиста вы можете помочь себе, снижая эмоциональное напряжение, которое не будет мешать вам в родах. Как подготовиться к партнерским родам Лучший способ подготовиться к партнерским родам — это сходить на специализированные курсы, где можно услышать информацию от разных специалистов: акушера-гинеколога, педиатра, психолога. Сейчас очень много площадок для подготовки к родам — очных и онлайн. Одни из лучших вариантов — это перинатальные центры и родильные дома. Там можно найти непосредственно практикующих специалистов, которые поделятся полезными знаниями. Не менее важно получать живую обратную связь от друзей, близких, которые прошли такой опыт — им можно задавать вопросы и узнавать об этой теме больше. Тем не менее быть готовыми к родам на 100% невозможно: всегда будет что-то, о чем вы не знали или не подумали, — это тоже нормально В семейной паре важно заранее обсудить отношение к партнерским родам. Важно быть готовыми к тому, что у вас могут быть разные точки зрения на этот вопрос. И это не значит, что вы не любите и не хотите поддерживать друг друга. При этом нужно готовиться не только к родам, но и к жизни после них. Большинство женщин и семейных пар на сегодняшний день в преддверии родов, особенно первых, готовятся именно к ним, не зная или не успевая подумать, что может ждать их дальше: новые вызовы, изменения — многие к этому оказываются не готовы. Также в преддверии родов не менее важно успевать просто жить, замечать приятные моменты, отдыхать и настраиваться на то, что вы так или иначе справитесь с родами, станете родителями и шагнете в новый этап своей жизни. Читайте также: 10 ошибок, которые постоянно делают родители подростков
Дети;ПРАВМИР. Минздрав РФ составил методические рекомендации для региональных клиник по оценке репродуктивного здоровья населения во время диспансеризации. Скрининг состоит из двух этапов, включающих анкетирование и осмотр у профильного врача, а в случае подозрения на патологию – дополнительные анализы и обследования. По итогу диагностики пациенты 18-49 лет будут распределяться по трем группам здоровья, отмечает «Коммерсант». К первой группе здоровья относятся россияне, у которых не выявлены хронические заболевания и отсутствуют факторы риска их развития.Ко второй группе отнесены женщины, у которых пока не диагностировано заболеваний, но есть факторы риска (вредные привычки, хронические соматические заболевания, влияющие на репродуктивную систему). А также мужчины с лишним весом и/или перенесенными ИППП.К третьей группе отнесут пациентов с репродуктивными нарушениями. Пациенты второй и третьей групп должны быть направлены на дальнейшие обследования к профильным врачам, им должны назначить индивидуальную программу лечения. Газета приводит совместное исследование центра НАФИ и компании «Гедеон Рихтер»: сохранение репродуктивного здоровья важно для 90% россиян, однако 42% больше года не посещали врача и только 30% полностью им довольны. Читайте также: 10 ошибок, которые постоянно делают родители подростков
Дети;Новое исследование сиднейских ученых определило, что не только будущей матери надо тщательнее подходить к вопросу питания во время планирования беременности. Диета будущего отца не менее важна для здоровья потомства. Работа была проведена на мышах. Результаты ее опубликованы в Nature Communications. Было определено, что баланс нутриентов в питании самцов оказывает непосредственное влияние на развитие тревожности у сыновей испытуемых мышей и на метаболическое здоровье дочерей лабораторных особей. Ученые уже обнаруживали, что питание отца-мыши влияет не только на его репродуктивное здоровье, но и на здоровье потомства от него. Так, перекармливание или недостаток пищи могут сказаться на метаболизме и даже повышают риск рака. В рамках проведенной работы самцов мышей кормили одной из 10 диет, различающихся по пропорциям белков, жиров и углеводов. Затем испытуемые особи отправлялись на спаривание с самками, которые находились на стандартном питании. После появления потомства изучили физиологические и ментальные особенности мышат. Было онаружено, что если будущих отцов кормили питанием с пониженным содержанием белка и высоким количеством углеводов, то в паре больше рождались мальчики, отличающиеся высоким уровнем тревожности в будущем, — для измерения смотрели на время, проведенное в безопасных зонах лабиринта. Если же самцов кормили едой с высоким содержанием жиров, то дочери от них имели более высокий уровень жира и определенные маркеры метаболического заболевания. «Наше исследование показывает, что тип диеты, которую соблюдают до зачатия, может программировать определенные характеристики следующего поколения», — говорит соавтор исследования, профессор Ромен Баррес. Также было отмечено, что мужские особи испытуемых мышей, находящиеся на диете с низким содержанием белка, в общем употребляли больше пищи. Читайте также: 10 ошибок, которые постоянно делают родители подростков
Дети;Во время ожидания ребенка у многих будущих матерей меняется внешность. Об этом в статье «Газеты.Ru» рассказал Денис Банный, акушер-гинеколог, врач Лаборатории «Гемотест». «Нередко беременные отмечают, что у них лицо стало более круглым, а нос и губы укрупнились. В большинстве случаев это связано с набором веса, а после родов вес и соответственно овал лица приходят в норму. Но если такие перемены сопровождаются отеками всего тела, следует обратиться к врачу — такое состояние может указывать на сбой в работе почек», — сообщил Денис Банный. Акушер-гинеколог отметил, что у будущей матери также может измениться и цвет лица. «Покраснение кожи часто связано с повышенным артериальным давлением, а бледный или землистый оттенок зачастую указывает на дефицит железа и анемию. Такое состояние также требует обязательной консультации с акушером-гинекологом», — уточнил врач. По словам специалиста, частыми спутниками беременности становятся прыщи на лице (акне), которые обычно появляются в конце второго — начале третьего триместра. Доктор добавил, что во время беременности изменения заметны не только на коже лица, но и на теле. «В первом и втором триместре может развиться атопический дерматит, характерные признаки которого — зудящие пузырьки на коже (в основном на шее, животе, сгибе локтей и коленях). А повышение уровня женских гормонов приводит и к активности меланоцитов — клеток кожи, которые вырабатывают пигмент меланин. В результате у беременной могут потемнеть отдельные участки тела (ареолы сосков, область паха и подмышек, белая линия живота)», — объяснил Денис Банный. Врач уверил, что и прыщи, и пигментация, и дерматит, как правило, проходят через некоторое время после родов. Читайте также: Зачем советские школьницы вызывали Жвачного Короля: 5 тайных игр в СССР
Дети;Ученые из нескольких американских научных центров, статья которых опубликована в журнале Annals of Internal Medicine, повторно проанализировали результаты клинического исследования, посвященного изучению влияния низких доз аспирина на зачатие, риск выкидыша на раннем сроке и исход беременности в целом. В исследовании принимали участие 1227 женщин в возрасте от 18 до 40 лет, пережившие один или два выкидыша и пытавшиеся снова забеременеть. Когда полученные данные анализировали в первый раз, вышло, что прием аспирина никак не влияет на риск нового выкидыша и исход беременности. Однако повторный анализ показал, что многие участницы исследования постоянно забывали принимать раз в день 81-миллиграммовую таблетку аспирина. На этот раз ученые сфокусировались только на тех женщинах, которые строго придерживались графика, и принимали аспирин, по меньшей мере, пять, а лучше семь дней в неделю. В то же время, как предупреждает ведущий автор исследования Эшли Нэйми, этот метод подходит только тем женщинам, которые пережили одну или несколько потерь беременности. Кроме того, прежде, чем начинать принимать аспирин, необходимо проконсультироваться с врачом, так как у этого препарата есть противопоказания и негативные побочные эффекты. Читайте также: Какова роль оргазма в зачатии ребенка? Отвечает гинеколог Елена Березовская
Дети;Когда в семье или близком окружении кто-то уходит из жизни, от ребенка это могут тщательно скрывать: с одной стороны, боясь его травмировать, с другой — считая, что он еще не понимает, что такое смерть. На самом деле, как отмечает Наталья Голубева, психолог, член Восточно-Европейской Ассоциации экзистенциальных терапевтов, дети способны понять, что такое смерть, в любом возрасте, и ограждать их от этого знания может быть даже вредно. ЕСЛИ РЕБЕНКУ ДО 3-5 ЛЕТ Считается, что дети младше трех лет воспринимают смерть как отсутствие какого-либо движения — а огонь с дымом, например, ощущают как что-то живое. При этом дети способны интуитивно понять, что такое смерть, через конструкцию «больше нет», ведь уже знают, что в начале завтрака на столе еда есть, а в конце — нет, и что вода из ванны может вытечь, если вытащить пробку. Маленькие дети зачастую также думают, что смерть похожа на долгий-долгий сон, поэтому объяснения можно выстроить, отталкиваясь от понятного им опыта. Однако если малыш тревожный, то он может начать думать о сне как источнике опасности и плохо спать, беспокоясь, что умрет во сне. Так что лучше подстраховаться и использовать другие сравнения. При этом вопросы типа «Когда ты умрешь?», «Какой гроб изнутри?», «А я умру?» может задавать даже самый маленький ребенок, имеющий минимальный словарный запас Бояться их не стоит — если в окружении недавно кто-то ушел из жизни, возможно, малыш считывает ситуацию на эмоциональном уровне, и атмосфера тайны вызывает у него тревогу. Поэтому на вопросы нужно отвечать. К примеру, на вопрос «Как это — умер?» можно ответить, что человек или питомец не дышит и у него не бежит кровь по сосудам. Важно приобщить ребенка к ритуалу прощания — похоронам, чтобы выстроить границу между жизнью и смертью. Так, котенка можно похоронить и положить на землю цветы. С ребенком можно сходить на кладбище и объяснить, что здесь хоронят людей и на могилах ставят памятники с фотографиями, чтобы их близкие помнили о них. ЕСЛИ РЕБЕНКУ 6-9 ЛЕТ В этом возрасте смерть может восприниматься как злой дух, который уносит с собой пожилых людей. Утаивать от ребенка смерть знакомого или близкого человека в этом возрасте, придумывая, что он в больнице или уехал куда-то далеко, не стоит — это мешает сформировать правильное отношение к смерти. Если вы возьмете ребенка на похороны, он может ощущать брезгливость вместе с грустью и печалью — и ему стоит объяснить, что эти эмоции нормальны. Важно поделиться с ребенком приятными воспоминаниями об умершем и объяснить ему, что это помогает сохранить память о человеке. Можно также что-то сделать в память о нем — поставить свечку в церкви, написать письмо или посадить цветы. Не менее важно помнить о том, что у детей подвижная психика, они вряд ли будут так же долго переживать утрату, как взрослые, — и корить их за это не стоит «Взрослые должны учитывать, что дети гораздо свободнее говорят о смерти, о потере брата или сестры, чем их родители. И они свободнее в проявлениях своих чувств», — объясняет Наталья Голубева. Необходимо преодолевать неловкость и отвечать даже на странные вопросы: учитывайте, что у вас совсем другой опыт, связанный со смертью, чем у ребенка, и может быть другой образ мыслей. Если же ребенок спрашивает «А я тоже умру?», важно объяснить, что это случится, но очень нескоро — он успеет прожить долгую и интересную жизнь, познакомиться со множеством людей и позаниматься тем, чем ему нравится. ЕСЛИ РЕБЕНКУ ОТ 10 ЛЕТ Когда дети взрослеют, они обычно впервые по-настоящему задумываются о смерти и представляют, что за ней следует непонятное и необъяснимое «ничто». Это может пугать, вгонять в тоску и депрессию — но говорит о том, что они уже ломают голову над вопросом «что будет после смерти», научный ответ для которого пока толком не сформулировали даже лучшие умы человечества. Подростки могут проявлять любопытство по поводу того, каким образом обращаются с телом умершего — когда его хоронят, а когда — сжигают. Что в этот момент происходит с его сознанием, его душой. Что касается последнего, родители обычно дают ребенку объяснения, исходя из собственных представлений и религиозности. Однако важно делать акцент на том, что даже после смерти человек продолжает жить в сердце другого, в его воспоминаниях. Читайте также: Какие чекапы нужны ребенку первого года жизни
Дети;Исследователи из Имперского колледжа Лондона, статья которых опубликована в журнале Nature Sustainability, проанализировали данные о более чем трех с половиной тысячах лондонских школьников в возрасте от 9 до 15 лет. Данные касались условий окружающей среды, в которой живут городские дети и подростки, а также их интеллектуального развития, психического здоровья, поведения, образа жизни и так далее. Оказалось, что чем больше времени юные горожане проводят именно среди деревьев, в лесах и парках, тем лучше у них обстоит дело с интеллектом, психическим здоровьем, эмоциональной стабильностью и поведением. С чем связано такое волшебное влияние деревьев на головной мозг подрастающего поколения, пока неясно. Ученые не исключают, что все дело во фракталах — бесконечно повторяющихся подобных друг другу геометрических объектах, которыми являются по своей сути ветви деревьев. У людей существует врожденная способность к вычленению фракталов в окружающей среде. Считается, что созерцание фракталов успокаивает и способствует развитию нейронных связей в головном мозге. Читайте также: Каким было материнство на Руси более 500 лет назад
Дети;«Надень шапку, простудишься!», «Не гуляй, на улице мороз!», «Не выходи на улицу с мокрой головой!» Скорее всего, за свою жизнь вы неоднократно слышали эти советы от собственных родителей, когда были маленькими. Опрос, проведенный среди более чем тысячи американских родителей, детям которых было от 5 до 12 лет, показал, что многие из них (около 70%) до сих пор уверены, что эти передающиеся из поколения в поколение рекомендации работают. Половина опрошенных ради собственного успокоения дает детям в сезон простуд различные витамины или разрекламированные добавки, якобы «усиливающие иммунитет», что бы это ни значило. При этом все эти продукты либо совершенно не эффективны в качестве средства профилактики простудных заболеваний, либо обладают очень ограниченной эффективностью. Чаще всего дети получают витамин С, мультивитамины и/или какие-то препараты с эхинацеей. На самом деле, никакой «простуды» не существует, существуют вирусные инфекции дыхательных путей, которые активизируются в холодное время года, и передаются от человека к человеку воздушно-капельным путем. То есть, через кашель и чихание, когда мельчайшие капельки выделений из носа и глотки, кишащие вирусными частицами, распространяются по воздуху и оседают на все поверхности в комнате, где находится заболевший человек, а также на его руках и лице, и попадают в дыхательные пути других людей. Меры профилактики вирусных инфекций, в первую очередь, должны быть направлены на личную гигиену. И 99% опрошенных родителей, к счастью, знают об этом, заставляя детей почаще в течение дня мыть руки теплой водой и мылом. Этот простой метод позволяет избавиться от большинства распространенных вирусов. Эффективно также частое протирание рук антисептическим гелем, и этот способ применяют 70% родителей. 94% из них также учат детей не трогать руками рот и нос, не допивать и не доедать за другими, и не пользоваться их столовыми приборами. Например, 64% из них сообщили, что просят простуженных родственников не обнимать и не целовать детей, а 60% не пускают детей в гости к больным друзьям. 31% даже избегает в сезон простуд посещать детские площадки. А 84%, чтобы снизить риск заражения, чаще моют полы и протирают поверхности в доме, а также чаще моют детские игрушки. Все эти простые методы действительно работают, в отличие от тех советов, которыми руководствовались наши бабушки. По материалам сайта LiveScience Читайте также: Без сиропов и таблеток: лечение ОРВИ у детей в 19 «заповедях»
