category;data
Политика;Мы поговорим об истории Войска Польского и о том, что в Польше те, кто защищают историческую память, подвергаются давлению и репрессиям.   Ежи Тыц поделится пессимистическим прогнозом развития своей страны и расскажет о том, что молодые люди находятся в новой русофобской парадигме. Такого Telegram-канала, как у нас, нет ни у кого. Он для тех, кто хочет делать выводы сам.
Политика;Председатель Совета Федерации Федерального Собрания РФ Валентина Ивановна Матвиенко родилась 7 апреля 1949 года в городе Шепетовка Хмельницкой области Украинской ССР (ныне – Украина).  В 1967 году с красным дипломом окончила Черкасское фармацевтическое училище (ныне – Черкасская медицинская академия). В 1972 году – Ленинградский химико-фармацевтический институт (ныне Санкт-Петербургский государственный химико-фармацевтический университет), в 1985 году – Академию общественных наук при ЦК КПСС, в 1991 году – курсы усовершенствования руководящих дипломатических работников при Дипломатической академии Министерства иностранных дел СССР.  С 1972 года – на комсомольской работе. Прошла путь от заведующей отделом Петроградского райкома комсомола до первого секретаря Ленинградского обкома ВЛКСМ.  В 1984-1986 годах Валентина Матвиенко работала первым секретарем Красногвардейского райкома КПСС города Ленинграда (ныне Санкт-Петербург).  В 1986-1989 год была заместителем председателя Исполкома Ленсовета. В 1989 году избрана народным депутатом СССР. Была председателем Комитета Верховного Совета СССР по делам женщин, охраны семьи, материнства и детства. В период 1991-1998 годов Матвиенко состояла на дипломатической службе. В 1991-1994 годах – посол СССР и РФ в Республике Мальта. В 1994-1995 годах – посол МИД РФ по особым поручениям. В 1995-1997 годах – директор Департамента по связям с субъектами Федерации, парламентом и общественно-политическими организациями МИД РФ, член коллегии МИДа. С 1997 по 1998 годы была послом России в Греции. В 1998-2003 годах Валентина Матвиенко работала заместителем председателя правительства РФ, курировала социальную сферу.  С марта по октябрь 2003 год – полномочный представитель президента РФ в Северо-Западном федеральном округе.  5 октября 2003 года Валентина Матвиенко была избрана губернатором Санкт-Петербурга. 20 декабря 2006 года по представлению президента России Владимира Путина Законодательным Собранием Санкт-Петербурга повторно была наделена полномочиями губернатора города.  В августе 2011 года победила на муниципальных выборах в Санкт-Петербурге и была делегирована в Совет Федерации.  31 августа 2011 года назначена членом Совета Федерации Федерального Собрания РФ – представителем в СФ ФС РФ от исполнительного органа государственной власти города Санкт-Петербурга. 21 сентября 2011 года Валентина Матвиенко была единогласно избрана председателем Совета Федерации Федерального Собрания Российской Федерации. Стала первой женщиной в российской истории, занявшей такой высокий пост. В октябре 2014 года была переизбрана на посту председателя Совета Федерации. В сентябре 2019 годах была вновь переизбрана на этот пост.  Постоянный член Совета Безопасности России.  Председатель Совета при президенте РФ по реализации государственной политики в сфере защиты семьи и детей. Член Совета при президенте РФ по стратегическому развитию и национальным проектам. Председатель Совета Межпарламентской Ассамблеи стран-участников СНГ.  Член Высшего совета партии "Единая Россия".  Почетный член Российской академии художеств (2007).  Имеет дипломатический ранг Чрезвычайного и Полномочного посла РФ (1997).  Валентина Матвиенко является полным кавалером Ордена "За заслуги перед Отечеством". Награждена также орденами "Знак Почета" (1976), Трудового Красного знамени (1981), Почета (1996). Удостоена медали Столыпина I степени (2014).   Валентина Матвиенко является первым полным кавалером высшего ордена Русской Православной церкви – святой равноапостольной княгини Ольги. Она также награждена орденом преподобного Сергия Радонежского I степени (2010) и орденом святого апостола Андрея Первозванного (2019).  Имеет ряд зарубежных государственных наград. Сын Сергей Матвиенко, бизнесмен.  Материал подготовлен на основе информации РИА Новости и открытых источников
Политика;Словацкий государственный и политический деятель Петер Пеллегрини (Peter Pellegrini) родился 6 октября 1975 года в городе Банска-Бистрица (Чехословакия (ныне территория Словакии) в семье, имеющей итальянские корни. Его отец – автомеханик, мать – учительница. В 1998 году окончил экономический факультет Университета Матея Бела в Банска-Бистрице и Технический университет в Кошице по специальности "финансы, банковское дело и инвестиции".  В 1998-2002 годах занимался индивидуальным предпринимательством.  В 2000 году вступил в ряды партии "Курс – социальная демократия".   В 2002-2006 годах был помощником депутата Национального совета (парламента) Словакии Любомира Важны. В 2006 году был избран депутатом Национального совета от партии "Курс – социальная демократия". Работал в комитете по пересмотру решений Управления национальной безопасности, комитете по мандату и иммунитету. Являлся председателем комиссии по транспорту, почтовым услугам, связи и информатизации общества в комитете по экономическим вопросам. В 2010 году был переизбран депутатом Национального совета. Был членом комитета по финансам и бюджету, комитета по пересмотру решений Управления национальной безопасности. В 2012-2014 годах являлся статс-секретарем министерства финансов Словакии.  В 2012 году был членом Экономического и социального совета Словакии. В этом же году стал "цифровым лидером" от Словакии в Европейском совете (ЕС) – в его обязанности входило развитие единого цифрового рынка в рамках ЕС. В 2012-2014 годах был председателем наблюдательных советов Национального ядерного фонда и компании Slovenská konsolidačná, a.s. Также являлся членом наблюдательного совета Агентства социального страхования, входил в состав ученого совета экономического факультета Университета Матея Бела и административного совета Банка развития Совета Европы. В 2014 году стал заместителем председателя партии "Курс – социальная демократия".  В июле 2014 года занял пост министра образования, науки, исследований и спорта Словакии.   В ноябре 2014 года был избран председателем Национального совета Словакии.  В марте 2016 года, после парламентских выборов, стал заместителем премьер-министра Словакии Роберта Фицо по инвестициям и информатизации. Был председателем Совета при правительстве Словакии по цифровизации государственного управления и единого цифрового рынка и Правительственного совета Словакии по науке, технологиям и инновациям. В марте 2018 года на фоне политического кризиса, возникшего в Словакии после убийства журналиста Яна Куциака, длительное время расследовавшего связи мафиозных структур с политиками, премьер-министр Роберт Фицо предложил главе республики свою отставку, условием которой выдвинул сохранение коалиционного кабинета и назначение на пост премьера представителя возглавляемой им партии "Курс – социальная демократия".   15 марта 2018 года словацкий президент Андрей Киска принял отставку премьера Роберта Фицо и его правительства и поручил формирование нового кабинета Петеру Пеллегрини. 22 марта 2018 года Петер Пеллегрини официально вступил в должность премьер-министра Словакии.  В марте 2020 года, после прошедших парламентских выборов, в результате которых была сформирована новая правящая коалиция, Петер Пеллегрини и его правительство ушли в отставку. С марта по октябрь 2020 года являлся заместителем председателя Национального совета Словакии. Был членом комитета по иностранным делам.  В июне 2020 года Пеллегрини покинул пост заместителя председателя партии "Курс – социальная демократия" и основал собственную партию "Голос – социальная демократия", которую зарегистрировал в сентябре того же года. В программе партии основное внимание уделено расширению участия в политической жизни граждан Словакии всех слоев и возрастов. В сентябре 2023 года на досрочных парламентских выборах партия "Голос – социальная демократия" заняла третье место, получив 14,7% голосов избирателей, и вошла в правящую коалицию с победившей партией "Курс – социальная демократия" Роберта Фицо и Словацкой национальной партией. В октябре 2023 года Петер Пеллегрини был избран председателем Национального совета Словакии.  В январе 2024 года Пеллегрини выдвинул свою кандидатуру на пост президента Словакии.   23 марта 2024 года по итогам первого тура выборов президента Словакии Петер Пеллегрини получил поддержку 37,02% избирателей и вышел во второй тур.  7 апреля 2024 года Пеллегрини победил во втором туре выборов президента Словакии. Петер Пеллегрини в интервью новостному агентству TASR заявил, что правительство Словакии заняло реалистичную позицию по Украине. Он выразил удивление, что некоторые страны, придерживающиеся другой позиции по Украине, не готовы уважать Словакию за такой подход и подвергают республику критике. Пеллегрини отметил, что Словакия готова помогать украинской стороне в вопросах разминирования территорий и реализации гражданских проектов. Пеллегрини считает, что конфликт на Украине не имеет военного решения и выступает за скорейшие переговоры о мире. Он также считает, что вооружение Украины не дает результатов и может в конце концов привести к катастрофе. Пеллегрини заявил, что Украина не может вступить в НАТО.   Он также заявил, что не допустит отправки словацких военных на Украину, если победит на президентских выборах. Помимо родного словацкого, Пеллегрини владеет английским, немецким и русским языками. Материал подготовлен на основе информации РИА Новости и открытых источников
Политика;МОСКВА, 7 апр — РИА Новости, Виктор Жданов. Победа Евромайдана в 2014-м привела к разрушительным для Украины последствиям. Ответной реакцией на действия киевских властей стали события, которые потом назовут Русской весной. Однако начиналось все очень непросто. Время решительных мер "Сегодня ночью создан антикризисный штаб. Против тех, кто взял в руки оружие, будут проводиться антитеррористические мероприятия. Усилена защита восточной границы нашей страны. Учитывая пассивное поведение некоторых структур местных правоохранительных органов, они будут доукомплектованы за счет подразделений из других регионов", — с такими словами обратился к украинцам исполняющий обязанности президента Александр Турчинов 7 апреля 2014-го. © РИА Новости / Григорий Василенко | Перейти в медиабанкИсполняющий обязанности президента Украины Александр Турчинов на заседании Верховной рады в Киеве© РИА Новости / Григорий ВасиленкоПерейти в медиабанкИсполняющий обязанности президента Украины Александр Турчинов на заседании Верховной рады в Киеве Жители Донецкой области поняли: бойня неизбежна. Первым тревожным звонком стала попытка Верховной рады отменить закон "Об основах государственной языковой политики" 23 февраля. Русский язык, который всегда был для Донбасса родным, мог оказаться под запретом.   Интересы востока страны выражала Партия регионов, но к концу февраля она уже ничего не решала. Так называемое "правительство народного доверия" контролировали националистическая партия "Свобода" и "Батькивщина", их поддерживали в основном на западе Украины. Турчинова никто не избирал. Поэтому в восточных регионах стала набирать популярность идея с широкой автономией. В конце февраля в Донецке активист Павел Губарев сформировал "Народное ополчение Донбасса". Движение призвало к массовым протестам, потребовав от местных депутатов признать утратившими легитимность донецкую госадминистрацию, Верховную раду и правительство Украины. Первого марта от 50 до 70 тысяч дончан с флагами России и СССР вышли на митинг. Всего по данным украинского МВД в течение месяца в Донецкой области прошло около двухсот акций с участием более 130 тысяч человек. Демонстранты выбрали Губарева "народным губернатором". Он предложил провести референдум о статусе региона. © РИА Новости / Ирина Горбасева | Перейти в медиабанкУчастники митинга в Донецке© РИА Новости / Ирина ГорбасеваПерейти в медиабанкУчастники митинга в Донецке В ответ Киев назначил главой области олигарха Сергея Таруту, что лишь усилило протестные настроения. После неоднократных штурмов областной администрации, которая сохраняла лояльность центральной власти, Губарева арестовала СБУ.  Тогда протестное движение возглавил заместитель Губарева Денис Пушилин, будущий глава ДНР. В городах продолжались столкновения сторонников Майдана и Русской весны. В середине марта начали пикетировать воинские части. Под Донецком танк едва не задавил людей, блокировавших передвижение украинской военной техники. После очередного митинга 6 апреля активисты захватили областную администрацию и потребовали немедленного созыва внеочередной сессии областного совета, чтобы обсудить референдум. Перед зданием возвели баррикаду из автопокрышек и колючей проволоки. Взяли под контроль и управление СБУ. "Сопротивление в Донбассе нарастало и требовало действий, а не просто митингов. Очередная массовая акция протеста 6 апреля закончилась штурмом здания областной госадминистрации. На незаконные действия Киева мы могли ответить только правомочными мерами. Мы требовали референдум о судьбе Донбасса, но не были услышаны украинской властью", — вспоминал потом Денис Пушилин. © РИА Новости / Наталья Селиверстова | Перейти в медиабанкСитуация в Донецке© РИА Новости / Наталья СеливерстоваПерейти в медиабанкСитуация в Донецке Созданный Республиканский совет 7 апреля 2014 года объявил о суверенитете Донецкой Народной Республики (ДНР). Акт провозглашения государственной самостоятельности написали лидер донецких коммунистов Борис Литвинов и доцент политологии Донецкого университета Кирилл Черкашин. Документ объявили основой для принятия республиканской Конституции.  Над администрацией спустили флаг Донецкой области. На его месте подняли черно-сине-красное полотно ДНР, которое активисты хранили с 2008 года. На площади у здания присутствовали десять тысяч горожан. Во временное правительство ДНР вошли семь человек, в том числе Пушилин. Ссылаясь на закрепленное в Уставе ООН право наций на самоопределение, они решили провести референдум не позднее 11 мая.  В течение апреля ополчение взяло под контроль практически всю область. Захваченные склады местных отделений милиции и СБУ позволили повстанцам хорошо вооружиться. Многие украинские силовики перешли на их сторону. © РИА Новости / Антон Круглов | Перейти в медиабанкСитуация в Краматорске© РИА Новости / Антон КругловПерейти в медиабанкСитуация в Краматорске Без шанса на компромисс Аналогичные процессы проходили в Луганске. Все началось 22 февраля, в день отставки президента Украины Виктора Януковича. Тогда в центре города произошла стычка между сторонниками госпереворота и Луганской гвардией, состоящей из пророссийских активистов.  Там тоже провозгласили "народного губернатора" — руководителя "гвардейцев" Александра Харитонова. Киев же прислал своего человека — Михаила Болотских. После захвата областной госадминистрации он написал заявление об отставке. В то же время СБУ решила обезглавить протест, арестовав Харитонова и лидера "Молодой гвардии" Арсена Клинчаева. Тридцатого марта около двух тысяч человек с российскими флагами собрались на митинг: требовали освободить задержанных. © РИА Новости / РИА Новости | Перейти в медиабанкЗдание Луганской областной государственной администрации в Луганске© РИА Новости / РИА НовостиПерейти в медиабанкЗдание Луганской областной государственной администрации в Луганске В городе Красный Луч, чтобы не пустить в область подразделения Национальной гвардии и "Правый сектор"*, местные организовали пост рядом с ГАИ. Активисты и родственники военнослужащих блокировали воинские части, требуя не участвовать в силовом разгоне демонстраций, если будет соответствующий приказ из центра.  Захватившие 6 апреля здание СБУ в Луганске объявили себя "Объединенным штабом армии Юго-Востока" (ОАЮВ). Организация потребовала от областного совета провозгласить государственный суверенитет Луганской Народной Республики (ЛНР) и провести референдум. © РИА Новости / Виталий БелоусовПредставитель самообороны на баррикадах у здания СБУ в Луганске© РИА Новости / Виталий БелоусовПредставитель самообороны на баррикадах у здания СБУ в Луганске Сход избрал народным губернатором Валерия Болотова, лидера ОАЮВ. Именно для переговоров с ним 24 апреля в Луганск приехала Юлия Тимошенко. Однако безуспешно. "Несколько дней после захвата СБУ мы были в растерянности, ведь не знали, поддержат ли нас. Мы ждали, что нам помогут, как помогли Крыму, а помощь все не приходила, и мы не знали, чем все закончится. Потом на свой страх и риск начали действовать дальше", — вспоминал Болотов. © РИА Новости / Виталий Белоусов | Перейти в медиабанкНародный губернатор Луганской области Валерий Болотов. Архивное фото© РИА Новости / Виталий БелоусовПерейти в медиабанкНародный губернатор Луганской области Валерий Болотов. Архивное фото Возле палаточного городка у здания СБУ 27 апреля митингующие провозгласили суверенитет Луганской Народной Республики. На митинге также прозвучало заявление о том, что в случае агрессии со стороны Киева Луганск попросит Россию ввести миротворческие силы. Через два дня более двух тысяч активистов захватили здания прокуратуры и обладминистрации. Силовики добровольно сложили оружие. Часть из них перешла на сторону ЛНР. Необратимость последствий На это Киев ответил полноценной войной — с привлечением авиации и тяжелой бронетехники. А назвал все "антитеррористической операцией" (АТО). Решение о ее начале приняли 13 апреля.  © РИА Новости / Валерий Мельников | Перейти в медиабанкСитуация в Луганской области© РИА Новости / Валерий МельниковПерейти в медиабанкСитуация в Луганской области Несмотря на это, в ЛНР и ДНР референдумы прошли в срок, 11 мая. Голосовали в крайне сложных условиях. Например, в Красноармейске боевики батальона "Днепр" захватили избирательный участок, а затем открыли огонь по мирным.  Часть территорий республик заняли ВСУ. Многих, кто выступал за независимость Донбасса, репрессировали. Но сорвать голосование не удалось. Оно состоялось в большинстве населенных пунктов. За самоопределение в Донецкой области выступили 89,7% избирателей, в Луганской — 96,2%. На следующий день, 12 мая, Донецк и Луганск объявили о выходе из Украины. Спустя восемь лет жители ДНР и ЛНР подавляющим большинством проголосовали за вхождение в состав России. Новая страница истории была открыта. * Организация признана экстремистской и запрещена на территории России.
Политика;МОСКВА, 7 апр — РИА Новости. Президент России Владимир Путин присвоил председателю Совета Федерации Валентине Матвиенко звание Героя Труда, соответствующий указ размещен на сайте официального опубликования правовых актов. Валентина Матвиенко отмечает в воскресенье 75-летие. "За особые трудовые заслуги перед государством и народом присвоить звание Героя Труда Российской Федерации Матвиенко Валентине Ивановне — председателю Совета Федерации Федерального собрания Российской Федерации", — говорится в документе. Биография Валентины Матвиенко7 апреля, 00:30
Политика;МОСКВА, 7 апреля/ Радио Sputnik. Словакия продолжит ориентироваться на Евросоюз и НАТО, но будет действовать более независимо и отстаивать интересы республики, заявил в эфире телеканала RTVS глава словацкого парламента Петер Пеллегрини, победивший на президентских выборах. «"Я могу гарантировать всем гражданам Словакии, что республика твердо закреплена в Европейском союзе и НАТО. Никто не может изменить курс нашей внешней политики, но я подтверждаю, что в этих организациях мы должны действовать более независимо, нужно, чтобы наш голос слышали. Мы должны выступить против, если какие-то решения имеют негативное влияние на Словакию, на нашу экономику или живущих тут людей", – приводит его слова РИА Новости. Петер Пеллегрини победил во втором туре президентских выборов, набрав 53,12% голосов. Его соперником был экс-глава МИД Словакии Иван Корчок.  Пеллегрини, как и премьер-министр Словакии Роберт Фицо, выступает против военной поддержки Киева. Он также пообещал, что в случае избрания президентом не допустит отправки словацких военных на Украину.  Радио Sputnik сообщало, как глава МИД Венгрии Петер Сийярто отреагировал на победу Пеллегрини на президентских выборах.  В Словакии предложили Западу альтернативу отправке войск на Украину11 марта, 15:30 Такого Telegram-канала, как у нас, нет ни у кого. Он для тех, кто хочет делать выводы сам.
Политика;МОСКВА, 8 апр — РИА Новости, Михаил Катков. В Румынии разрабатывают законодательную базу для аннексии Молдавии. Желание объединить два государства на днях выразил премьер-министр Марчел Чолаку, а Минобороны просит разрешить отправлять армию за границу для защиты соотечественников. Повторится ли история вековой давности — в материале РИА Новости. Пора домой Чолаку считает Молдавию частью Румынии, которую в 1940-м незаконно отторгли и включили в СССР. В интервью DC News он уточнил, что объединение государств можно оформить как внутри Евросоюза, так и за его пределами, но нужно согласие молдаван. © Sputnik / OsmatescoПремьер-министр Румынии Марчел Чолаку© Sputnik / OsmatescoПремьер-министр Румынии Марчел Чолаку "Я это поддерживаю, у меня нет запрета. Это мое право!" — подчеркнул премьер. По его словам, Молдавия сохраняет государственность только благодаря помощи Румынии. А население в этих странах общее.   Как известно, в 1918-м Румыния ввела войска в Молдавскую демократическую республику, провозглашенную в составе России. Созданный в Кишиневе Совет края под давлением Бухареста проголосовал за объединение. Москва этого так и не признала, а в июне 1940-го в соответствии с секретным советско-германским пактом эта территория перешла под контроль Советского Союза. Спустя 51 год СССР распался, Молдавия стала суверенным государством. В Декларации независимости сказано, что создание Молдавской ССР было незаконным. Государственный язык с тех пор — румынский с латинским алфавитом. За 30 лет независимости больше миллиона молдаван получили румынское гражданство. В том числе президент Майя Санду, члены Конституционного суда, правительства и парламента. Всего в стране 2,68 миллиона человек. © Sputnik / Дмитрий Осматеско | Перейти в медиабанкПрезидент Молдавии Майя Санду общается с журналистами возле избирательного участка в Кишиневе© Sputnik / Дмитрий ОсматескоПерейти в медиабанкПрезидент Молдавии Майя Санду общается с журналистами возле избирательного участка в Кишиневе Правда, в основном люди оформляют румынский паспорт не из любви к Бухаресту, а потому что хотят работать в Евросоюзе. По результатам опроса Института развития социальных инициатив IDIS Viitorul, проведенного в марте, только 37,8% граждан выступают за объединение с Румынией. Против — 50%, остальные не определились. Евроинтеграцию поддерживают 54,5%. Поэтому Санду и твердит, что румынская идентичность — это путь в ЕС. Солдаты группы "Центр" На этом фоне Минобороны Румынии вынесло на всеобщее обсуждение уточненную редакцию закона о национальной обороне. Во-первых, документ предусматривает милитаризацию сил МВД. Во-вторых, разрешается применение армии за границей для защиты румын, оказавшихся в опасности. В комментарии к законопроекту отмечается: "Новый инструмент, предоставляемый в распоряжение президента, появляется в условиях гибридной угрозы со стороны России". © Фото :  NATO Photo / WO2 Dan Harmer GBR ArmyСовместные учения войск НАТО в Румынии© Фото :  NATO Photo / WO2 Dan Harmer GBR ArmyСовместные учения войск НАТО в Румынии Процедура для ввода войск такая. Поступает запрос от руководства страны, в которой проживают румыны. По предложению премьера президент распоряжается принять меры по защите сограждан за рубежом. Парламент это одобряет. Тут же создается национальный военный командный центр, координирующий операцию с вооруженными силами НАТО.  В Кишиневе отреагировали сдержанно. "Молдавия — нейтральное государство. Этот нейтралитет поддерживают все, в том числе граждане страны, и любые изменения тут возможны только с одобрения населения. Мы хотим мира, спокойствия и развития, а также продвижения по европейскому пути. Вот чего желает правительство. Всевозможные исключительно теоретические заявления, не основанные ни на каких фактах, предлагаю на этом этапе не обсуждать, а поместить их в ряд нереализованных предположений", — сказал пресс-секретарь правительства Даниел Водэ. © Sputnik / Родион Прока | Перейти в медиабанкДепутаты на заседании парламента Молдавии в Кишиневе© Sputnik / Родион ПрокаПерейти в медиабанкДепутаты на заседании парламента Молдавии в Кишиневе Между тем ранее президент Франции Эммануэль Макрон на совместной пресс-конференции с Майей Санду сообщил, что в ближайшие месяцы в Кишиневе откроется французская военная миссия. Предполагаются совместные обучения и тренировки молдавских и французских солдат. И нарушением нейтралитета это почему-то не считается. Марш миротворцев С учетом сложной ситуации в регионе нельзя исключать, что предложение Минобороны Румынии превратится в закон и его применят на практике, полагает доктор политических наук, профессор РАНХиГС Наталья Харитонова. Причем дело не только в Молдавии. Еще есть российско-украинский конфликт и расширение американского и французского военного присутствия непосредственно в Румынии. © AP Photo / Vadim GhirdaВоеннослужащий с флагом НАТО на авиабазе в Румынии© AP Photo / Vadim GhirdaВоеннослужащий с флагом НАТО на авиабазе в Румынии "Вряд ли можно говорить о военном вторжении. Скорее, будет что-то вроде полицейской миссии. В ХХ веке у Бухареста был такой опыт. В большей степени это грозит Кишиневу, но и Киеву тоже. По крайней мере румынские власти ожидают, что в случае распада Украины они возьмут под контроль некоторые территории", — рассуждает эксперт.  Молдавский политический аналитик Дмитрий Кисеев считает румынскую инициативу неким страховочным вариантом на случай проигрыша Санду президентских и парламентских выборов, которые состоятся соответственно в 2024-м и 2025-м. "Если дойдет до смены власти, Бухарест сможет пообещать поддержку правящему режиму. Видимо, ставки настолько высоки, что в крайнем случае там готовы даже на военную операцию", — отмечает он. Но молдаване не хотят объединяться с Румынией, потому что еще жива память о том, как чуть больше 80 лет назад к ним относились в этой стране, добавляет Кисеев. Фактически они были людьми второго сорта. Поэтому большинство поддерживает евроинтеграцию, но не переход под власть Бухареста.
